temperatura_agua_C,oxigenio_dissolvido_mgL,racao_diaria_g,dias_desde_criacao,densidade_tanque_pm3,ph_agua,peso_g
27.1,8.04,24.3,295,35.8,7.89,201.2
24.7,7.56,46.6,102,24.5,7.23,116.5
27.3,6.15,30.1,77,13.1,8.15,83.2
23.9,5.88,65.5,355,22.6,6.91,332.4
24.3,6.1,50.4,262,30.6,7.44,276.5
23.1,5.93,54.4,129,38.5,8.1,92.3
18.3,8.9,65.9,88,12.7,6.86,123.2
19.3,6.75,37.7,287,36.0,6.72,193.2
18.4,5.29,74.1,94,37.7,8.27,50.0
25.6,9.85,47.3,112,37.1,7.19,100.1
21.8,9.42,21.1,183,27.2,7.87,119.2
24.1,9.64,58.7,295,27.0,6.55,341.7
28.9,9.97,65.5,338,19.1,7.88,318.6
21.0,5.87,32.2,108,31.3,7.13,80.3
22.9,6.98,70.0,344,23.6,6.61,319.6
27.1,8.79,73.4,179,28.7,7.72,162.4
20.7,8.48,29.4,77,20.0,6.98,90.6
18.9,5.77,78.8,277,30.6,7.27,256.3
21.5,9.08,19.8,307,33.9,6.66,232.3
19.9,6.12,24.1,127,10.1,6.79,57.2
29.2,6.12,22.9,54,34.2,7.1,50.0
27.7,7.68,72.6,313,23.9,6.68,324.1
25.6,7.96,55.8,330,34.6,8.32,238.3
28.5,7.9,20.6,97,20.1,6.51,76.6
27.6,5.46,40.8,36,18.3,7.47,50.0
20.2,9.39,53.1,334,37.0,6.75,287.2
28.7,6.33,15.8,166,13.8,7.12,161.5
24.5,5.65,71.8,193,34.5,8.35,175.2
27.7,9.44,66.3,112,21.9,6.82,180.5
28.8,9.78,45.4,167,23.0,8.43,190.4
21.8,9.31,77.7,102,15.8,6.91,157.0
19.3,9.05,39.2,266,25.1,7.98,200.7
20.7,8.28,78.9,75,16.4,7.59,171.6
23.1,7.75,56.8,135,6.4,8.27,222.0
27.8,5.43,54.4,317,14.5,7.61,276.6
28.3,7.04,21.6,291,5.2,7.57,253.9
18.1,6.86,71.7,205,39.2,6.89,138.2
24.1,6.3,39.9,195,38.8,6.83,89.8
23.0,8.62,21.4,174,18.8,8.33,118.4
20.7,7.48,10.9,359,30.5,7.16,221.5
19.4,5.41,49.2,312,17.1,7.24,271.8
22.1,6.1,46.9,83,28.5,8.02,67.7
29.3,8.42,60.4,207,33.2,7.18,192.3
21.9,5.38,72.3,273,38.1,8.4,187.5
24.2,9.26,15.6,156,19.0,7.98,131.9
26.4,7.48,61.2,300,32.4,7.69,258.2
22.4,7.4,23.1,161,14.3,8.26,106.8
29.7,7.96,70.1,122,39.7,6.6,112.9
29.5,9.12,67.3,102,5.9,7.01,221.1
21.0,6.74,47.9,277,26.1,7.43,220.9
24.0,8.39,59.7,302,28.1,6.95,281.1
21.6,7.83,32.0,72,29.1,7.99,76.0
21.4,6.34,43.0,70,9.2,8.34,93.2
18.4,9.39,67.5,199,37.8,7.35,188.6
25.3,8.99,42.1,241,11.3,7.18,272.7
24.0,8.29,35.0,197,26.8,8.42,199.9
18.6,9.25,44.6,68,12.8,7.39,127.8
21.3,9.34,68.0,274,15.8,7.48,324.4
28.9,8.54,33.5,180,24.1,7.2,172.2
20.9,9.19,22.2,140,19.6,8.32,102.9
19.7,8.49,59.8,76,10.6,7.64,129.2
23.9,8.4,67.8,92,11.0,8.02,191.4
29.8,8.09,17.0,254,19.6,8.12,188.0
20.9,8.76,26.8,98,31.5,7.18,50.0
26.1,5.79,19.9,328,36.4,7.37,257.6
27.1,9.4,34.4,319,7.9,8.2,338.2
20.9,9.36,41.5,325,18.8,7.23,314.7
26.7,5.15,62.4,232,8.5,8.09,239.2
22.4,9.13,55.6,90,5.6,8.38,169.2
25.6,5.64,53.5,347,28.2,7.75,297.3
25.6,6.68,34.7,343,26.1,7.98,217.4
24.4,8.72,68.9,190,10.7,8.11,305.0
19.1,5.8,43.0,360,13.2,8.19,284.8
28.0,9.09,78.5,45,5.8,7.29,165.5
21.8,9.16,54.4,123,34.2,6.6,113.5
20.2,7.54,18.8,333,39.1,7.3,262.9
18.5,5.03,57.3,167,9.7,7.85,173.5
25.1,6.44,32.8,67,13.1,7.4,135.9
26.1,8.08,58.0,156,35.4,8.0,137.6
18.2,9.91,14.9,304,37.4,7.21,177.6
24.1,8.16,22.2,193,19.7,7.77,178.6
20.7,6.3,69.9,348,6.8,6.87,368.1
25.7,8.17,25.9,106,6.4,8.0,111.2
20.1,7.7,68.6,203,25.1,7.59,214.6
26.3,8.9,29.5,350,18.8,6.91,314.8
22.6,5.53,55.0,120,6.0,7.08,193.7
29.2,8.81,58.6,267,25.4,8.0,243.4
19.7,7.71,45.9,293,5.4,7.47,293.8
22.1,9.81,31.4,208,32.6,6.93,190.2
19.4,6.71,24.9,238,15.7,8.43,165.6
29.1,8.16,12.3,102,6.4,7.93,50.0
28.5,9.66,31.3,136,25.6,8.41,105.4
21.1,5.51,55.7,324,18.9,7.35,283.4
25.9,9.69,75.7,313,39.1,7.45,297.4
27.8,8.44,71.0,211,24.0,8.3,260.3
24.7,5.34,63.6,66,14.6,7.55,168.7
24.4,6.5,65.2,166,29.8,7.91,153.6
20.9,8.54,56.5,85,14.5,7.0,122.2
19.1,5.34,28.2,216,36.6,7.39,128.2
28.8,7.91,73.5,287,18.1,6.75,287.0
28.8,6.73,57.0,87,24.2,6.91,101.5
25.6,8.1,49.2,152,6.8,6.5,187.5
22.1,5.23,17.8,217,19.9,6.58,162.2
22.2,9.36,41.3,259,34.1,8.45,175.7
26.7,9.87,42.2,197,33.2,6.98,200.7
28.8,9.84,70.5,143,12.9,7.83,190.5
28.6,8.75,48.3,281,12.9,8.18,290.0
27.4,5.65,36.6,136,33.6,7.6,50.0
25.7,8.79,78.4,66,37.6,6.81,108.5
19.0,5.12,17.8,364,8.3,7.96,266.7
19.9,5.11,39.6,121,20.8,7.7,101.2
28.8,6.62,12.9,47,16.8,7.96,50.0
25.3,7.44,61.8,92,35.5,8.04,73.3
18.1,8.85,74.3,179,7.9,8.45,202.1
19.2,8.42,29.6,168,12.4,7.65,182.0
26.0,7.23,70.1,215,31.3,7.18,189.7
18.1,6.37,30.5,214,6.8,7.8,189.5
19.9,9.99,73.8,234,22.2,6.64,265.9
24.6,7.13,62.8,289,20.5,8.29,311.6
26.3,7.26,66.3,243,16.7,6.74,263.0
25.8,5.82,11.3,285,18.8,7.16,223.1
20.7,8.97,77.4,164,23.5,8.13,210.1
26.5,8.47,60.9,90,10.6,7.69,160.8
20.8,6.1,31.3,339,25.0,7.29,282.5
21.9,5.41,68.1,117,33.2,7.45,131.6
27.0,8.4,29.7,353,31.6,8.21,248.8
25.8,8.27,71.1,236,10.4,7.18,218.8
28.2,6.37,17.9,158,10.2,8.24,108.0
25.9,9.75,59.3,340,14.4,6.68,389.2
24.8,5.76,47.8,32,17.6,8.05,54.5
19.1,7.16,16.8,271,19.3,8.2,186.0
22.4,9.72,26.9,150,28.8,6.86,159.0
21.2,7.1,10.9,131,7.0,7.36,135.3
20.9,8.19,42.8,67,6.2,6.83,78.4
29.7,6.99,31.1,162,18.7,7.91,89.2
22.7,6.37,51.9,231,29.4,7.57,207.1
28.7,9.92,30.8,50,11.8,7.77,86.8
25.6,7.05,31.0,271,27.5,6.89,251.2
27.5,9.47,62.0,138,14.1,6.92,178.5
24.0,6.15,13.4,332,36.0,6.58,202.6
24.9,6.07,73.2,113,36.3,7.14,90.3
23.9,5.16,69.7,112,15.4,7.62,146.4
20.3,8.26,56.7,320,13.0,8.22,266.9
26.7,6.84,51.5,98,19.4,7.83,102.5
21.4,9.32,72.5,158,13.4,7.37,231.1
18.3,7.37,23.0,225,28.5,8.41,127.7
25.7,9.84,15.5,169,33.9,7.94,161.9
20.1,5.93,26.8,312,28.6,8.36,248.7
29.3,9.34,65.6,341,33.9,7.56,275.1
29.4,8.88,12.4,263,18.9,7.02,160.4
29.0,8.85,50.8,52,10.5,6.61,105.2
22.4,9.22,79.7,182,30.8,7.95,209.9
18.2,8.81,69.9,306,17.6,6.74,289.4
29.1,8.13,46.5,90,28.5,7.11,62.1
23.1,5.66,14.5,348,14.5,7.56,326.0
29.6,5.16,68.2,81,7.8,7.63,124.2
29.6,9.6,51.9,182,39.7,7.7,147.0
28.2,8.08,18.0,266,10.5,6.83,218.0
21.5,8.98,16.6,340,39.6,7.26,231.2
22.6,7.41,73.7,331,39.2,7.73,269.6
28.2,5.59,56.8,61,32.8,8.44,50.0
21.8,5.63,68.1,84,28.1,7.96,113.5
20.0,8.43,71.5,65,25.2,8.35,54.1
24.7,7.15,50.0,139,35.3,8.02,110.4
29.2,6.0,46.2,206,15.1,7.68,180.8
26.4,7.46,40.1,343,21.4,6.88,311.6
24.8,5.32,32.2,324,26.7,7.83,235.4
19.2,7.91,40.4,126,19.4,7.75,143.4
25.4,6.34,64.2,242,20.0,7.7,221.7
29.9,8.99,52.1,346,16.6,7.48,358.5
19.7,6.55,72.5,166,24.7,7.56,170.6
24.2,7.28,41.0,35,34.8,7.17,50.0
28.5,5.06,52.5,138,12.1,7.54,167.6
26.9,5.36,54.2,64,37.7,6.9,50.0
26.4,6.96,51.4,68,29.1,8.11,50.0
26.4,7.4,59.2,179,33.8,6.87,162.8
22.3,8.0,26.6,147,24.5,6.67,147.1
21.5,6.46,45.9,290,32.3,7.37,259.3
27.7,8.47,17.3,116,5.6,7.82,126.2
27.7,9.3,36.9,105,33.6,7.38,85.2
28.4,8.9,44.1,342,6.4,7.05,357.1
29.0,5.2,55.7,243,36.1,7.62,200.9
24.1,7.4,76.5,314,39.7,7.19,262.1
24.0,5.52,52.0,268,15.3,8.37,240.2
27.6,6.21,62.1,194,12.4,8.35,182.4
25.8,9.93,45.4,116,31.8,7.5,81.0
26.4,5.71,54.4,170,13.9,7.16,199.8
27.5,7.49,15.0,189,35.3,7.97,131.8
28.7,8.09,27.8,75,8.6,6.57,93.7
22.1,8.51,35.3,141,9.4,7.45,159.3
22.5,7.8,43.1,74,39.3,7.17,52.9
19.1,5.05,13.2,276,28.6,8.34,161.3
24.9,6.63,19.8,133,34.6,6.52,57.6
18.4,7.59,29.4,114,16.4,7.61,140.0
23.6,5.44,78.0,163,28.7,7.98,143.7
24.5,6.75,33.2,137,25.8,7.47,111.2
21.4,5.17,43.7,47,26.1,6.67,50.0
25.1,5.39,23.7,123,28.9,8.44,63.4
18.4,6.98,52.8,179,25.1,7.54,156.1
18.4,5.66,29.6,275,20.0,7.73,173.3
27.9,7.84,24.5,318,14.7,6.97,339.0
22.3,8.45,46.2,238,31.9,7.47,198.9
19.5,9.0,10.4,155,12.9,7.36,149.2
24.3,6.0,10.5,264,29.2,6.65,187.4
27.2,5.84,25.3,151,13.2,6.71,118.2
20.6,5.52,12.6,167,26.9,8.17,78.8
25.5,8.18,17.6,144,31.1,6.98,80.3
19.0,8.53,33.7,191,12.7,6.89,205.4
18.6,5.16,66.2,230,7.1,7.51,246.1
24.4,9.68,50.0,263,9.6,8.04,307.4
24.5,5.26,45.9,57,26.2,6.62,50.0
25.6,7.71,30.5,40,34.7,7.65,50.0
26.7,8.55,75.2,235,6.6,6.74,271.3
29.7,9.35,37.8,196,30.7,6.57,128.9
24.2,8.57,16.1,276,16.9,6.61,180.7
21.9,9.01,53.2,76,21.7,8.17,94.9
27.5,6.7,18.0,275,37.5,6.74,144.0
21.2,9.07,34.2,156,16.6,6.59,167.7
23.3,5.4,45.5,176,21.3,7.38,169.1
18.9,9.47,71.2,147,5.5,8.19,251.3
18.3,7.74,44.5,181,7.9,7.02,272.3
29.6,9.09,59.2,101,14.1,7.34,182.9
28.0,7.26,79.5,166,6.0,6.58,226.5
26.4,8.22,19.2,204,27.1,7.4,143.8
22.9,7.63,29.2,318,19.9,7.66,298.5
20.1,8.66,37.6,48,24.2,7.64,50.0
19.9,5.41,39.5,224,11.1,7.16,209.4
21.0,5.3,38.8,359,15.4,7.13,309.2
24.6,6.24,73.5,204,28.2,6.71,218.8
26.6,5.8,60.0,170,38.8,7.23,141.1
25.9,9.36,52.6,275,6.8,6.7,300.4
21.4,6.1,31.7,122,36.2,8.03,50.0
29.5,9.88,67.7,268,25.2,8.43,261.0
26.9,6.68,76.9,234,24.7,8.44,201.1
24.7,5.91,67.5,77,22.5,8.23,129.0
25.3,8.95,10.1,274,7.4,7.7,279.8
23.0,8.29,54.5,349,8.1,7.9,372.5
21.0,7.49,13.6,346,26.0,7.07,268.5
22.3,7.78,28.0,324,16.9,7.76,273.6
27.1,8.6,14.2,157,37.1,7.41,66.2
18.2,6.14,52.3,311,19.2,7.46,260.8
19.4,9.98,58.1,46,10.0,8.02,131.7
18.6,9.87,18.0,100,30.0,7.06,68.3
18.5,8.25,36.9,298,15.3,7.14,266.2
28.3,6.0,41.9,354,23.4,8.35,287.9
26.4,8.4,35.8,311,29.4,6.61,243.6
23.7,5.36,18.5,334,36.5,7.47,198.6
19.2,5.15,39.3,36,32.7,8.33,50.0
23.9,6.29,62.6,343,28.7,7.72,277.6
23.7,7.31,15.0,334,28.8,7.59,205.8
20.1,9.34,15.6,132,38.1,7.0,63.0
23.2,8.64,34.8,338,15.4,7.19,314.9
22.8,8.71,75.9,222,5.0,8.2,291.4
25.4,7.13,56.8,270,14.5,7.62,258.8
25.6,6.73,57.5,91,12.6,7.53,174.1
18.5,6.86,35.3,46,28.2,6.7,50.0
22.5,9.94,51.6,200,27.2,6.53,188.9
25.5,5.2,10.7,54,25.8,8.43,50.0
24.0,9.34,54.5,280,5.6,7.25,311.7
28.3,7.89,73.9,282,30.5,7.71,220.3
25.9,7.19,52.9,236,16.3,6.66,251.0
20.0,8.63,71.2,58,28.3,7.87,73.3
18.8,7.43,60.7,146,24.5,8.37,106.6
25.7,9.37,18.4,311,17.0,7.65,293.2
18.3,9.5,73.2,173,9.7,6.75,218.3
25.0,7.11,14.7,54,8.3,7.66,72.0
29.3,6.38,47.4,339,34.1,8.03,214.0
24.9,7.96,19.9,185,37.1,7.31,125.5
22.7,9.56,10.8,102,27.7,8.26,93.9
25.7,6.05,39.5,149,8.6,7.8,123.0
23.5,8.11,30.7,341,19.1,8.3,295.9
24.5,8.16,44.0,350,30.5,7.75,314.6
29.3,8.67,50.4,122,32.3,6.76,87.4
22.6,5.66,13.1,115,9.1,7.12,89.5
29.5,8.58,18.6,147,5.0,6.9,173.3
28.9,9.55,49.1,262,29.9,8.32,235.9
20.3,5.9,34.0,228,17.5,8.02,207.4
18.8,6.19,61.0,235,13.9,7.85,241.9
19.2,9.86,55.7,176,5.5,7.1,249.0
18.2,5.9,69.2,300,23.9,6.87,243.4
19.1,9.27,58.5,168,34.8,8.01,157.8
26.2,7.46,40.1,210,38.5,7.45,165.7
18.9,6.24,57.1,59,24.8,6.95,50.0
21.8,9.35,29.3,86,23.0,7.73,98.4
28.1,7.23,31.4,261,8.0,6.58,265.7
18.3,7.57,65.2,175,24.2,7.15,201.6
27.8,6.8,41.2,77,18.3,7.44,87.0
21.4,7.96,65.9,223,26.2,6.8,201.1
19.4,5.82,67.6,253,18.6,8.47,215.6
26.4,6.96,70.0,165,13.4,6.92,190.0
25.5,9.85,74.2,51,8.3,6.76,166.6
28.5,6.29,40.2,35,16.0,6.91,50.0
26.8,8.28,32.3,233,8.4,8.04,290.5
27.6,6.63,50.8,268,11.2,7.35,297.7
21.4,8.87,36.0,214,39.6,7.63,170.5
20.1,5.65,52.1,321,20.5,6.54,284.1
27.0,9.85,59.4,364,23.6,6.57,335.1
27.7,7.27,58.2,249,35.6,7.39,193.2
29.9,6.18,36.2,145,39.8,8.13,50.0
23.0,5.37,21.7,342,25.4,8.27,244.9
22.5,5.85,40.1,78,33.4,6.67,50.0
27.3,7.6,20.0,202,16.4,7.58,174.6
22.1,6.69,72.3,111,15.7,8.33,143.6
29.2,9.14,34.2,351,19.1,7.28,298.1
28.3,7.15,20.8,362,28.5,8.16,212.8
23.1,6.24,11.8,74,28.9,6.77,56.3
27.0,8.09,55.2,364,16.0,8.37,392.2
27.1,8.53,54.6,49,9.7,8.0,144.2
19.2,5.84,33.8,250,27.1,8.38,129.3
28.8,5.84,15.0,152,9.5,7.85,142.7
24.1,5.18,38.7,263,25.2,7.23,247.3
27.9,8.68,31.8,250,29.3,8.38,168.5
21.8,8.32,57.4,352,29.5,7.05,328.0
28.7,7.37,52.4,32,31.4,7.16,50.0
22.7,9.22,35.5,211,35.6,7.9,196.8
18.1,9.03,25.3,235,22.5,8.03,189.1
28.9,7.93,79.2,349,30.6,8.36,277.9
19.1,9.34,41.8,69,26.7,6.91,88.9
21.8,6.03,58.2,88,11.5,8.1,152.6
29.4,5.56,19.8,91,5.9,7.98,88.5
29.4,6.35,44.0,161,15.0,6.63,163.7
24.9,5.29,11.9,89,20.5,7.27,59.1
25.6,7.66,45.4,360,26.6,7.07,285.7
23.4,9.68,77.5,151,34.7,7.11,178.6
21.5,5.2,36.9,136,11.9,8.47,135.6
21.9,5.61,12.7,125,9.4,7.79,107.8
26.1,7.26,12.2,264,38.7,7.94,163.7
27.0,9.67,37.2,91,8.8,8.45,119.9
27.5,6.58,21.2,285,21.7,7.25,215.8
27.5,7.54,11.6,78,25.5,8.1,50.0
19.1,5.21,62.9,188,23.9,7.37,175.8
23.9,5.74,42.1,153,8.0,8.24,163.4
18.7,9.93,30.2,346,7.0,6.86,366.8
24.6,9.83,73.0,236,8.7,8.4,285.1
23.3,5.02,18.1,77,25.5,6.94,50.0
28.7,9.76,76.9,165,24.1,7.15,137.6
22.2,8.2,32.0,230,13.2,8.01,210.2
19.4,9.34,72.2,279,27.3,7.29,312.9
19.7,7.27,52.2,343,33.7,7.72,212.7
27.1,7.58,67.9,347,6.5,7.39,358.6
25.4,7.44,78.9,324,22.4,7.98,335.0
19.2,8.33,30.2,343,29.1,6.96,207.4
19.0,5.7,77.3,238,13.8,6.62,240.3
26.4,5.15,37.3,240,15.8,7.1,246.3
18.9,6.54,37.0,221,26.5,7.45,217.1
27.9,8.52,33.8,73,36.4,6.84,50.0
26.5,6.01,47.9,58,33.3,7.21,50.0
19.0,8.37,20.8,88,25.4,7.3,50.0
19.0,9.85,48.8,100,30.6,6.61,95.1
29.8,5.47,47.9,121,17.8,7.67,116.2
22.5,8.36,63.3,294,27.4,8.27,314.1
22.4,7.22,68.4,249,21.3,6.8,284.4
27.8,9.34,40.8,244,11.6,7.7,259.3
29.4,5.89,31.2,306,29.6,7.83,195.5
29.8,8.46,28.2,93,24.5,7.34,148.8
27.0,9.19,23.6,321,17.6,7.9,294.0
22.5,9.72,14.0,274,36.9,7.32,177.3
19.0,8.42,34.0,91,5.7,7.51,129.4
27.3,7.49,28.9,361,16.1,6.51,284.6
24.7,8.09,77.6,199,7.0,7.88,219.2
23.1,9.34,49.0,298,31.8,7.82,267.8
28.9,7.85,34.3,296,29.6,6.58,262.2
19.3,5.15,50.6,83,16.6,7.24,56.1
23.9,9.65,19.7,45,28.6,8.46,50.0
18.1,8.45,41.1,37,18.9,7.34,50.0
23.6,8.38,53.8,133,31.5,7.5,148.9
18.7,6.08,44.2,88,20.9,8.32,58.7
19.4,8.29,38.1,342,19.4,7.93,258.1
19.4,6.97,79.6,69,37.7,7.66,50.0
25.8,8.26,71.6,266,13.8,8.1,276.7
27.0,5.53,53.6,123,9.2,8.23,179.1
25.0,8.29,49.9,251,25.5,7.41,274.1
29.5,10.0,53.4,233,38.9,7.45,176.0
22.5,5.24,24.1,167,18.2,7.27,172.3
21.4,9.89,37.7,329,7.2,8.43,325.4
28.4,7.03,12.8,236,16.9,7.89,167.8
20.7,9.35,43.3,110,22.7,6.67,122.5
29.6,8.91,48.0,247,10.7,8.23,256.1
18.1,7.84,25.9,31,28.0,7.46,50.0
29.6,8.69,77.5,207,39.9,6.64,172.3
18.5,9.39,73.7,308,20.8,7.6,334.5
28.7,7.02,60.6,175,17.4,7.33,196.0
24.3,6.64,47.3,347,19.0,8.26,308.9
29.9,8.34,70.9,253,9.0,6.91,307.0
18.9,9.04,19.1,91,35.9,8.15,50.0
24.6,8.81,65.3,323,19.5,7.62,336.0
29.6,8.99,18.7,268,18.6,6.61,204.1
24.3,7.18,65.6,224,28.1,8.44,209.7
25.6,9.09,29.3,195,20.5,7.53,149.1
26.3,5.6,71.4,251,27.7,7.08,230.0
23.5,7.72,76.1,90,7.2,7.44,134.6
25.5,5.03,20.4,158,33.5,8.22,50.0
25.0,6.62,42.4,202,37.9,7.11,99.7
28.8,6.83,78.7,185,27.7,6.89,212.2
18.5,6.98,43.8,139,38.4,6.76,71.4
21.4,8.48,70.4,298,10.3,7.1,314.4
29.4,6.94,51.2,307,21.7,8.06,268.2
28.7,7.24,36.3,103,26.1,7.44,104.5
23.5,6.19,30.0,236,25.4,6.95,203.6
25.4,6.87,24.2,308,19.1,6.83,254.7
21.3,6.14,63.3,355,16.8,7.17,351.7
20.3,5.37,37.1,233,9.4,8.38,227.6
23.6,8.02,45.8,190,18.7,7.19,201.0
22.2,8.34,44.5,57,10.7,8.48,100.9
25.0,8.1,50.4,286,30.7,7.47,245.6
18.9,7.32,70.6,194,12.3,6.86,191.5
29.7,6.9,78.7,92,7.0,8.28,177.7
29.8,9.32,38.5,51,24.3,7.42,109.3
26.4,7.6,67.9,99,25.8,7.92,97.0
24.4,7.4,63.5,125,35.5,8.47,125.6
21.7,5.13,50.1,192,25.2,6.6,135.9
27.8,6.71,76.9,108,17.1,6.69,157.3
26.2,6.9,24.0,34,33.1,7.94,50.0
20.0,6.99,17.6,345,23.9,7.06,247.4
28.9,7.9,69.8,149,7.8,6.87,213.6
27.9,7.67,40.7,331,24.8,6.58,225.7
29.4,8.04,69.3,207,36.8,6.54,148.7
26.7,8.82,72.5,205,18.9,8.05,188.2
25.4,9.06,14.4,246,15.4,6.77,236.4
23.0,8.59,71.8,85,10.0,7.44,204.5
29.2,9.78,41.4,216,10.3,7.71,230.6
28.4,5.09,45.7,261,20.1,7.36,228.2
18.5,5.98,53.9,284,25.8,6.55,216.5
18.3,5.04,74.8,133,7.8,8.07,188.7
22.5,8.24,11.3,106,37.9,6.52,50.0
27.7,9.49,43.4,259,31.4,8.02,158.0
29.8,6.22,58.1,287,25.5,8.29,248.0
19.8,9.64,60.6,293,34.0,7.37,250.3
25.1,5.3,58.5,360,7.8,7.57,332.9
22.6,9.67,19.4,211,21.7,7.45,181.9
29.6,6.76,31.0,285,27.1,7.28,163.6
28.1,5.51,35.1,67,34.0,8.27,50.0
28.1,7.43,66.3,205,32.4,8.29,169.3
23.6,6.28,29.5,56,14.7,7.17,89.8
23.0,6.42,24.7,305,37.9,7.73,203.8
21.3,6.54,77.0,169,9.4,8.35,216.6
18.7,9.02,10.6,328,35.6,8.42,174.6
28.4,7.7,79.8,316,39.0,7.52,265.8
27.8,6.56,57.4,120,11.2,7.41,151.8
30.0,8.05,68.0,90,30.3,7.06,56.7
30.0,8.58,30.6,192,6.4,8.42,169.3
